"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Developers' Game: A Preliminary Study Concerning a Tool for Automated Developers Assessment","W. Frącz; J. Dajda","NA; NA","2018 IEEE International Conference on Software Maintenance and Evolution (ICSME)","","2018","","","695","699","These days, despite dynamic development of the software industry there is still no proven and accurate assessment method of developers' performance. Current solutions are based on limited set of factors that can be easily measured by managers, such as the number of hours worked, issues closed, or lines of code written. However, there is more than that: developers write code of better or worse quality, they perform code reviews and code refactorings. To answer these needs we have created the Code Review Analyzer (CRA) tool that uses information gathered in code review platforms to assess developers based on their work style. Among others, it collects information on commits frequency, number of code review rejections and code reviews performed. This information is used to calculate developers performance in a continuous manner and to introduce gamification techniques into the team space by providing developers with their ranking and awarding them with various achievement badges. Afterwards, the tool was experimentally evaluated in order to prove the evaluation accuracy but also to verify the motivational impact of the gamification techniques. The CRA tool demonstration can be seen at https://youtu.be/dUFFxCeH-ok.","2576-3148;1063-6773","978-1-5386-7870-1978-1-5386-7871","10.1109/ICSME.2018.00079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530082","code review, code review analyzer, gerrit code review, gamification, software engineering","Tools;Software;Task analysis;Measurement;Games;Industries;Computer bugs","DP industry;software development management;software maintenance;software tools","automated developers assessment;dynamic development;software industry;code reviews;code refactorings;Code Review Analyzer tool;code review platforms;code review rejections;developers performance;CRA tool demonstration;gamification techniques","","","14","","","","","","IEEE","IEEE Conferences"
"Automatically Recommending Peer Reviewers in Modern Code Review","M. B. Zanjani; H. Kagdi; C. Bird","Department of Electrical Engineering and Computer Science, Wichita State University, Wichita, Kansas; Department of Electrical Engineering and Computer Science, Wichita State University, Wichita, Kansas; Microsoft Research, Redmond, WA","IEEE Transactions on Software Engineering","","2016","42","6","530","543","Code review is an important part of the software development process. Recently, many open source projects have begun practicing code review through “modern” tools such as GitHub pull-requests and Gerrit. Many commercial software companies use similar tools for code review internally. These tools enable the owner of a source code change to request individuals to participate in the review, i.e., reviewers. However, this task comes with a challenge. Prior work has shown that the benefits of code review are dependent upon the expertise of the reviewers involved. Thus, a common problem faced by authors of source code changes is that of identifying the best reviewers for their source code change. To address this problem, we present an approach, namely cHRev, to automatically recommend reviewers who are best suited to participate in a given review, based on their historical contributions as demonstrated in their prior reviews. We evaluate the effectiveness of cHRev on three open source systems as well as a commercial codebase at Microsoft and compare it to the state of the art in reviewer recommendation. We show that by leveraging the specific information in previously completed reviews (i.e.,quantification of review comments and their recency), we are able to improve dramatically on the performance of prior approaches, which (limitedly) operate on generic review information (i.e., reviewers of similar source code file and path names) or source coderepository data. We also present the insights into why our approach cHRev outperforms the existing approaches.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2015.2500238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7328331","Modern code review;reviewer recommendation;code change;Gerrit;Modern code review;reviewer recommendation;code change;Gerrit","History;Electronic mail;Birds;Inspection;Androids;Humanoid robots;Software","software engineering;software reviews","peer reviewer recommendation;code review;software development process;open source projects;GitHub pull-requests tool;Gerrit tool;source code change;cHRev approach;commercial codebase","","12","55","","","","","","IEEE","IEEE Journals & Magazines"
"A tool to support perspective based approach to software code inspection","L. Chan; K. Jiang; S. Karunasekera","Dept. of Comput. Sci. & Software Eng., Melbourne Univ., Parkville, Vic., Australia; Dept. of Comput. Sci. & Software Eng., Melbourne Univ., Parkville, Vic., Australia; Dept. of Comput. Sci. & Software Eng., Melbourne Univ., Parkville, Vic., Australia","2005 Australian Software Engineering Conference","","2005","","","110","117","It is widely accepted that code inspection is one of the more cost effective forms of testing. It requires a group of inspectors coming together to find defects in an inspection artifact. However, as inspection artifacts grow larger and more complicated, the burden of conducting the code inspection process outweighs the benefits that it provides. Even with the help of automated tools, the process itself has become inefficient as it consumes a large amount of limited resources. Therefore, there has been much research focus on improving the reading technique, which makes a significant impact on the quality of the inspection. In this paper, we discuss the perspective-based reading technique and its benefits to object-oriented projects. We also discuss the need for a new inspection tool and this leads us to propose a tool that supports the perspective-based reading technique with the use of UML design diagrams. This tool supports perspective-based reading technique by matching scenarios in the form of design diagrams to source code and subsequently searching for discrepancies between the two. The use of design diagrams avoids overlapping of inspection effort; thus, increases the efficiency of code inspection even for large projects. We explain how the tool makes the more effort-driven perspective-based reading technique relatively easy as compared to doing it manually.","1530-0803;2377-5408","0-7695-2257","10.1109/ASWEC.2005.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1402006","perspective-based reading;UML design diagram;inspection tool","Software tools;Inspection;Software engineering;Costs;Unified modeling language;Computer science;Software testing;Fault detection;Face detection;Australia","software quality;software tools;Unified Modeling Language;object-oriented programming;program testing","software code inspection;perspective-based reading technique;object-oriented projects;inspection tool;UML design diagram;software quality","","1","18","","","","","","IEEE","IEEE Conferences"
"The influence of non-technical factors on code review","O. Baysal; O. Kononenko; R. Holmes; M. W. Godfrey","David R. Cheriton School of Computer Science, University of Waterloo, Canada; David R. Cheriton School of Computer Science, University of Waterloo, Canada; David R. Cheriton School of Computer Science, University of Waterloo, Canada; David R. Cheriton School of Computer Science, University of Waterloo, Canada","2013 20th Working Conference on Reverse Engineering (WCRE)","","2013","","","122","131","When submitting a patch, the primary concerns of individual developers are “How can I maximize the chances of my patch being approved, and minimize the time it takes for this to happen?” In principle, code review is a transparent process that aims to assess qualities of the patch by their technical merits and in a timely manner; however, in practice the execution of this process can be affected by a variety of factors, some of which are external to the technical content of the patch itself. In this paper, we describe an empirical study of the code review process for WebKit, a large, open source project; we replicate the impact of previously studied factors - such as patch size, priority, and component and extend these studies by investigating organizational (the company) and personal dimensions (reviewer load and activity, patch writer experience) on code review response time and outcome. Our approach uses a reverse engineered model of the patch submission process and extracts key information from the issue tracking and code review systems. Our findings suggest that these nontechnical factors can significantly impact code review outcomes.","1095-1350;2375-5369","978-1-4799-2931","10.1109/WCRE.2013.6671287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6671287","Code review;non-technical factors;personal and organizational aspects;WebKit;open source software","Companies;Electronic mail;Time factors;Browsers;Google;Databases","program diagnostics;reverse engineering;software quality","nontechnical factors;code review process;WebKit;open source project;patch size;priority;component;code review response time;reverse engineered model;patch submission process;issue tracking system;code review system;code review outcome;software quality","","28","14","","","","","","IEEE","IEEE Conferences"
"Who should review my code? A file location-based code-reviewer recommendation approach for Modern Code Review","P. Thongtanunam; C. Tantithamthavorn; R. G. Kula; N. Yoshida; H. Iida; K. Matsumoto","Nara Institute of Science and Technology, Japan; Nara Institute of Science and Technology, Japan; Osaka University, Japan; Nagoya University, Japan; Nara Institute of Science and Technology, Japan; Nara Institute of Science and Technology, Japan","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","","2015","","","141","150","Software code review is an inspection of a code change by an independent third-party developer in order to identify and fix defects before an integration. Effectively performing code review can improve the overall software quality. In recent years, Modern Code Review (MCR), a lightweight and tool-based code inspection, has been widely adopted in both proprietary and open-source software systems. Finding appropriate code-reviewers in MCR is a necessary step of reviewing a code change. However, little research is known the difficulty of finding code-reviewers in a distributed software development and its impact on reviewing time. In this paper, we investigate the impact of reviews with code-reviewer assignment problem has on reviewing time. We find that reviews with code-reviewer assignment problem take 12 days longer to approve a code change. To help developers find appropriate code-reviewers, we propose RevFinder, a file location-based code-reviewer recommendation approach. We leverage a similarity of previously reviewed file path to recommend an appropriate code-reviewer. The intuition is that files that are located in similar file paths would be managed and reviewed by similar experienced code-reviewers. Through an empirical evaluation on a case study of 42,045 reviews of Android Open Source Project (AOSP), OpenStack, Qt and LibreOffice projects, we find that RevFinder accurately recommended 79% of reviews with a top 10 recommendation. RevFinder also correctly recommended the code-reviewers with a median rank of 4. The overall ranking of RevFinder is 3 times better than that of a baseline approach. We believe that RevFinder could be applied to MCR in order to help developers find appropriate code-reviewers and speed up the overall code review process.","1534-5351","978-1-4799-8469","10.1109/SANER.2015.7081824","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7081824","Distributed Software Development;Modern Code Review;Code-Reviewer Recommendation","Androids;Humanoid robots;Open source software;Software systems;Manuals;History","public domain software;software reviews","file location;code-reviewer recommendation approach;modern code review;software code review;MCR;proprietary software system;open-source software system;Android open source project;AOSP;OpenStack;Qt project;LibreOffice project;RevFinder","","15","41","","","","","","IEEE","IEEE Conferences"
"Mining the Modern Code Review Repositories: A Dataset of People, Process and Product","X. Yang; R. G. Kula; N. Yoshida; H. Iida","NA; NA; NA; NA","2016 IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR)","","2016","","","460","463","In this paper, we present a collection of Modern Code Review data for five open source projects. The data showcases mined data from both an integrated peer review system and source code repositories. We present an easy-to-use and richer data structure to retrieve the 1.) People 2.) Process and 3.) Product aspects of the peer review. This paper presents the extraction methodology, the dataset structure, and a collection of database dumps.","","978-1-4503-4186-8978-1-5090-2242","10.1109/MSR.2016.054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7832925","","Data mining;History;Software;Servers;Electronic mail;Relational databases","data mining;data structures;public domain software;software reviews;source code (software)","database dumps collection;dataset structure;extraction methodology;source code repositories;peer review system;data mining;open source projects;code review data;product dataset;process dataset;people dataset;code review repositories","","","22","","","","","","IEEE","IEEE Conferences"
"Investigating code review quality: Do people and participation matter?","O. Kononenko; O. Baysal; L. Guerrouj; Y. Cao; M. W. Godfrey","David R. Cheriton School of Computer Science, University of Waterloo, Canada; Department of Computer Science and Operations Research, Université de Montréal, Canada; Département de Génie Logiciel et des Technologies de l'Information, École de technologie supérieure, Canada; Department of Computer Science and Operations Research, Université de Montréal, Canada; David R. Cheriton School of Computer Science, University of Waterloo, Canada","2015 IEEE International Conference on Software Maintenance and Evolution (ICSME)","","2015","","","111","120","Code review is an essential element of any mature software development project; it aims at evaluating code contributions submitted by developers. In principle, code review should improve the quality of code changes (patches) before they are committed to the project's master repository. In practice, bugs are sometimes unwittingly introduced during this process. In this paper, we report on an empirical study investigating code review quality for Mozilla, a large open-source project. We explore the relationships between the reviewers' code inspections and a set of factors, both personal and social in nature, that might affect the quality of such inspections. We applied the SZZ algorithm to detect bug-inducing changes that were then linked to the code review information extracted from the issue tracking system. We found that 54% of the reviewed changes introduced bugs in the code. Our findings also showed that both personal metrics, such as reviewer workload and experience, and participation metrics, such as the number of involved developers, are associated with the quality of the code review process.","","978-1-4673-7532-0978-1-4673-7531","10.1109/ICSM.2015.7332457","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332457","Code review;code review quality;bug-inducing changes;mining software repositories;Mozilla;empirical study","Computer bugs;Data mining;Electronic mail;Software;Androids;Humanoid robots;Control systems","program debugging;project management;public domain software;software development management;software metrics;software quality;software reviews","code review quality;software development project;code change quality;project master repository;Mozilla;open-source project;reviewer code inspections;SZZ algorithm;bug-inducing change detection;personal metrics;reviewer workload;code review process","","12","43","","","","","","IEEE","IEEE Conferences"
"Software Architecture and Specification Model for Customizable Code Inspection Tools","M. Noro; A. Sawada","NA; NA","2015 Asia-Pacific Software Engineering Conference (APSEC)","","2015","","","230","237","This paper describes the aspect-oriented software architecture and the finite automaton based specification model for building customizable code inspection tools. Through the development of a production quality code inspection tool, five crosscutting concerns are identified: internal data model, language processing, data traverse, inspection logic, and decoupling control. We constructed an aspect-oriented software architecture manipulating the concerns. The architecture is flexible to various changes to code inspection tools. With a combination of six design patterns: Composite, Interpreter, Visitor, Mediator, Command and State, an application framework based on the architecture is implemented. The usefulness of the architecture is discussed. The finite automaton model for the specification to the inspection logic is introduced and its practicality is demonstrated with our inspection tool. We also show that the combination of our architecture and our specification model is a useful basis for test case generation for each inspection logic. Possibilities for automatic generation of inspection codes are discussed as well.","1530-1362","978-1-4673-9644","10.1109/APSEC.2015.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7467305","software architecture;source code inspection;aspect-oriented software architecture;application framework;finite-state automaton;test-case generation","Inspection;Syntactics;Computer architecture;Data models;Software architecture;Semantics;Automata","aspect-oriented programming;finite automata;formal specification;inspection;program testing;software architecture;software tools;source code (software)","test case generation;inspection logic;state pattern;command patterns;mediator pattern;visitor pattern;interpreter patterns;composite patterns;language processing;internal data model;production quality code inspection tools;customizable code inspection tool building;finite automaton based specification model;aspect-oriented software architecture;customizable code inspection tools;software specification model","","","16","","","","","","IEEE","IEEE Conferences"
"Tool Support for Managing Clone Refactorings to Facilitate Code Review in Evolving Software","Z. Chen; M. Mohanavilasam; Y. Kwon; M. Song","NA; NA; NA; NA","2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC)","","2017","1","","288","297","Developers often perform copy-and-paste activities. This practice causes the similar code fragment (aka code clones) to be scattered throughout a code base. Refactoring for clone removal is beneficial, preventing clones from having negative effects on software quality, such as hidden bug propagation and unintentional inconsistent changes. However, recent research has provided evidence that factoring out clones is not always to reduce the risk of introducing defects, and it is often difficult or impossible to remove clones using standard refactoring techniques. To investigate which or how clones can be refactored, developers typically spend a significant amount of their time managing individual clone instances or clone groups scattered across a large code base. To address the problem, this paper presents a technique for managing clone refactorings, Pattern-based clone Refactoring Inspection (PRI), using refactoring pattern templates. By matching the refactoring pattern templates against a code base, it summarizes refactoring changes of clones, and detects the clone instances not consistently factored out as potential anomalies. PRI also provides novel visualization user interfaces specifically designed for inspecting clone refactorings. In the evaluation, PRI analyzes clone instances in six open source projects. It identifies clone refactorings with 94.1% accuracy and detects inconsistent refactorings with 98.4% accuracy. Our results show that PRI should help developers effectively inspect evolving clones and correctly apply refactorings to clone groups.","0730-3157","978-1-5386-0367-3978-1-5386-0368","10.1109/COMPSAC.2017.242","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029620","Code clones;refactorings;software evolution;maintenance","Cloning;Tools;Computer bugs;Standards;Software;Inspection;Pattern matching","data visualisation;public domain software;software maintenance;software management;software quality;software tools;source code (software);user interfaces","code base;clone removal;code clones;PRI;tool support;clone refactorings management;code review facilitation;code fragment;pattern-based clone refactoring inspection;refactoring pattern templates matching;clone instances analysis;open source projects;visualization user interfaces;software quality","","1","46","","","","","","IEEE","IEEE Conferences"
"Process Cube for Software Defect Resolution","M. Gupta; A. Sureka","NA; NA","2014 21st Asia-Pacific Software Engineering Conference","","2014","1","","239","246","Online Analytical Processing (OLAP) cube is a multi-dimensional dataset used for analyzing data in a Data Warehouse (DW) for the purpose of extracting actionable intelligence. Process mining consists of analyzing event log data produced from Process Aware Information Systems (PAIS) for the purpose of discovering and improving business processes. Process cube is a concept which falls at the intersection of OLAP cube and process mining. Process cube facilitates process mining from multiple-dimensions and enables comparison of process mining results across various dimensions. We present an application of process cube to software defect resolution process to analyze and compare process data from a multi-dimensional perspective. We present a framework, a novel perspective to mine software repositories using process cube. Each cell of process cube is defined by metrics from multiple process mining perspectives like control flow, time, conformance and organizational perspective. We conduct a case-study on Google Chromium project data in which the software defect resolution process spans three software repositories: Issue Tracking System (ITS), Peer Code Review System (PCR) and Version Control System (VCS). We define process cube with 9 dimensions as issue report timestamp, priority, state, closed status, OS, component, bug type, reporter and owner. We define hierarchies along various dimensions and cluster members to handle sparsity. We apply OLAP cube operations such as slice, dice, roll-up and drill-down, and create materialized sub log for each cell. We demonstrate the solution approach by discovering process map and compare process mining results from Control Flow and Time perspective for Performance and Security issues.","1530-1362;1530-1362","978-1-4799-7426-9978-1-4799-7425","10.1109/APSEC.2014.45","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7091316","Empirical Software Engineering;Issue Tracking System;Mining Software Repositories;OLAP;Peer Code Review System;Process Cube;Process Mining;Version Control System","Data mining;Security;Software;Process control;Google;Measurement;Chromium","configuration management;data mining;data warehouses;program debugging;software engineering;software maintenance","online analytical processing cube;multidimensional dataset;data warehouse;DW;actionable intelligence extraction;process mining;event log data analysis;process aware information systems;PAIS;software defect resolution process;software repositories;control flow;organizational perspective;conformance perspective;Google Chromium project data;issue tracking system;ITS;peer code review system;PCR;version control system;VCS;issue report timestamp;issue report priority;issue report state;issue report closed status;issue report OS;issue report component;bug type;reporter;owner;OLAP cube operations;security issues;performance issues","","3","16","","","","","","IEEE","IEEE Conferences"
"Learning outcomes of programming language courses based on peer code review model","W. Yanqing; L. Hang; S. Yanan; J. Yu; Y. Jie","School of Management, Harbin Institute of Technology, Harbin 150001, China; School of Management, Harbin Institute of Technology, Harbin 150001, China; School of Management, Harbin Institute of Technology, Harbin 150001, China; School of Management, Harbin Institute of Technology, Harbin 150001, China; School of Management, Harbin Institute of Technology, Harbin 150001, China","2011 6th International Conference on Computer Science & Education (ICCSE)","","2011","","","751","754","Software quality assurance at source code level has drawn pressing concerns because of the increasing complexity and size of software projects. Based on the updated peer code review process model, an information system was constructed. After several academic years' implementation, questionnaire is made and data is analyzed. Some charming learning outcomes are recognized. Peer code review model is further proved vital in the pedagogy and evaluating of programming language although it can still be improved.","","978-1-4244-9718-8978-1-4244-9717-1978-1-4244-9716","10.1109/ICCSE.2011.6028746","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6028746","peer code review;learning outcome;programming language;SQA at source level;questionnaire","Programming;Encoding;Information systems;Standards;Software;Collaborative work;Conferences","computer aided instruction;computer science education;data analysis;educational courses;information systems;programming languages;quality assurance;software quality;source coding","programming language courses;peer code review model;software quality assurance;source code level;software projects;information system;questionnaire;learning outcomes;pedagogy;data analysis","","","10","","","","","","IEEE","IEEE Conferences"
"Semantics-assisted code review: An efficient tool chain and a user study","M. Menarini; Y. Yan; W. G. Griswold","Department of Computer Science and Engineering, University of California at San Diego, La Jolla, CA, USA; Department of Computer Science and Engineering, University of California at San Diego, La Jolla, CA, USA; Department of Computer Science and Engineering, University of California at San Diego, La Jolla, CA, USA","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2017","","","554","565","Code changes are often reviewed before they are deployed. Popular source control systems aid code review by presenting textual differences between old and new versions of the code, leaving developers with the difficult task of determining whether the differences actually produced the desired behavior. Fortunately, we can mine such information from code repositories. We propose aiding code review with inter-version semantic differential analysis. During review of a new commit, a developer is presented with summaries of both code differences and behavioral differences, which are expressed as diffs of likely invariants extracted by running the system's test cases. As a result, developers can more easily determine that the code changes produced the desired effect. We created an invariant-mining tool chain, Getty, to support our concept of semantically-assisted code review. To validate our approach, 1) we applied Getty to the commits of 6 popular open source projects, 2) we assessed the performance and cost of running Getty in different configurations, and 3) we performed a comparative user study with 18 developers. Our results demonstrate that semantically-assisted code review is feasible, effective, and that real programmers can leverage it to improve the quality of their reviews.","","978-1-5386-2684-9978-1-5386-3976","10.1109/ASE.2017.8115666","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115666","Software behavior;mining software repository;code review;likely invariants;dynamic impact analysis;scalability;software testing","Tools;Testing;Computer bugs;Semantics;Software;Navigation","data mining;Internet;project management;software maintenance","semantic-assisted code review;invariant-mining tool chain;code differences;inter-version semantic differential analysis;code repositories;code changes","","","38","","","","","","IEEE","IEEE Conferences"
